sentence_text,sentence_start,file_id,KAYCEE,KAYCEE_annotation,KATHLEEN,KATHLEEN_annotation,LIZ,LIZ_annotation
"Ct) MERCY HEALTH 
GRAND RAPIDS, Ml 
CONSENT",0,95581557,,,,,,
"TO RECEIVE 
Patient Label 

NON-EMERGENCY TRANSFUSION OF BLOOD AND/OR",44,95581557,,,,,,
BLOOD PRODUCTS,114,95581557,,,,,,
I understand that I need or may need blood and/or blood products as part of my treatment at MHSM for the duration of: D Inpatient: This hospital admission D Outpatient: Series of treatments from _,130,95581557,['A'],I understand that I need or may need blood and/or blood products as part of my treatment at MHSM for the duration of: D Inpatient: This hospital admission D Outpatient: Series of treatments from _____to,,,,
_,326,95581557,,,,,,
_,327,95581557,,,,,,
__to,328,95581557,,,,,,
_,333,95581557,,,,,,
_,334,95581557,,,,,,
_,335,95581557,,,,,,
_,336,95581557,,,,,,
"_ 
DESCRIPTION OF PROCEDURE:",337,95581557,,,,,,
I understand that blood or blood products will be introduced into one of my veins.,366,95581557,,,['C'],"I understand that blood or blood products will be introduced into one of my veins. 
My doctor will determine the amount of blood or blood products to be transfused based on my particular needs.",,
My doctor will determine the amount of blood or blood products to be transfused based on my particular needs.,450,95581557,,,,,,
RISKS:,561,95581557,,,,,,
"It has been explained to me that the transfusion of blood and/or blood products is ordinarily a very safe, 
effective, low-risk procedure.",568,95581557,,,,,,
"I understand the risks may include, but are not limited to: 
A. MINOR AND TEMPORARY REACTIONS: These are not uncommon, and may include a slight bruise, swelling or local infection in the area where the needle pierces the skin.",707,95581557,,,,,,
"Minor reactions to the transfusion may include, but are not limited to: headache, chills, fever, mild skin reaction such as itching, rash or hives.",934,95581557,,,,,,
B. SERIOUS REACTIONS:,1083,95581557,,,,,,
"These are possible, but very unlikely.",1105,95581557,,,,,,
"Such serious reactions may include, but are not limited to: transmission of infectious diseases such as hepatitis, AIDS, cytomegalovirus (CMV), or bacterial infection.",1144,95581557,,,,,,
"Other serious reactions may include fluid overload, lung failure, or death.",1312,95581557,,,,,,
